id,symbol,state_id
782,EVEREADY,1000
783,EVERESTIND,1000
784,EXCELCROP,1000
785,FACT,1000
786,FAIRCHEM,1000
787,FCONSUMER,1000
788,FDC,1000
789,FEL,1000
790,FELDVR,1000
791,FELIX,1000
792,FIEMIND,1000
793,FILATEX,1000
794,FINCABLES,1000
795,FINEORG,1000
796,FINPIPE,1000
797,FIVECORE,1000
798,FLFL,1000
799,FMGOETZE,1000
800,FMNL,1000
801,FORTIS,1000
802,FOSECOIND,1000
803,FRETAIL,1000
804,FSC,1000
805,FSL,1000
806,GABRIEL,1000
807,GALAXYSURF,1000
808,GALLANTT,1000
809,GANDHITUBE,1000
810,GANECOS,1000
811,GANESHHOUC,1000
812,GANGAFORGE,1000
813,GANGESSECU,1000
814,GARDENSILK,1000
815,GARFIBRES,1000
816,GATI,1000
817,GAYAPROJ,1000
818,GDL,1000
819,GEECEE,1000
820,GEEKAYWIRE,1000
821,GENESYS,1000
822,GENUSPAPER,1000
823,GENUSPOWER,1000
824,GEOJITFSL,1000
825,GEPIL,1000
826,GESHIP,1000
827,GET&D,1000
828,GHCL,1000
829,GICHSGFIN,1000
830,GICL,1000
831,GICRE,1000
832,GILLETTE,1000
833,GINNIFILA,1000
834,GIPCL,1000
835,GIRIRAJ,1000
836,GLAXO,1000
837,GLOBAL,1000
838,GLOBE,1000
839,GLOBOFFS,1000
840,GMDCLTD,1000
841,GMMPFAUDLR,1000
842,GNA,1000
843,GNFC,1000
844,GOACARBON,1000
845,GOCLCORP,1000
846,GODHA,1000
847,GODREJAGRO,1000
848,GODREJPROP,1000
849,GOKEX,1000
850,GOKUL,1000
851,GOKULAGRO,1000
853,GOLDIAM,1000
855,GOODLUCK,1000
856,GPIL,1000
857,GPPL,1000
858,GREAVESCOT,1000
859,GREENLAM,1000
860,GREENPLY,1000
861,GREENPOWER,1000
862,GRINDWELL,1000
863,GRPLTD,1000
864,GRSE,1000
865,GRUH,1000
866,GSCLCEMENT,1000
867,GSKCONS,1000
868,GSPL,1000
869,GSS,1000
870,GTL,1000
871,GTPL,1000
872,GUFICBIO,1000
873,GUJALKALI,1000
874,GUJAPOLLO,1000
875,GUJFLUORO,1000
876,GUJGASLTD,1000
877,GULFOILLUB,1000
878,GULFPETRO,1000
879,GULPOLY,1000
880,HAL,1000
881,HARITASEAT,1000
882,HARRMALAYA,1000
883,HATSUN,1000
884,HBLPOWER,1000
